date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths
1/13/2020,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1/14/2020,0,0,0,0,0,0,0.104545455,0.063636364,0.051688312,1,1,1,1,1,1,1,1,0,0
1/15/2020,0,0,0,0,0,0,0.468181818,0.059090909,0.077922078,1,1,1,1,1,1,1,1,0,0
1/16/2020,0,0,0,0,0,0,0.377272727,0.022727273,0.120324675,1,1,1,1,1,1,1,1,0,0
1/17/2020,0,0,0,0,0,0,0.422727273,0.063636364,0.31961039,1,1,1,1,1,1,1,1,0,0
1/18/2020,0,0,0,0,0,0,0.418181818,-0.05,0.358571429,1,1,1,1,1,1,1,1,0,0
1/19/2020,0,0,0,0,0,0,-0.004545455,-0.204545455,-0.061233766,1,1,1,1,1,1,1,1,0,0
1/20/2020,0,0,0,0,0,0,-0.009090909,-0.054545455,0.047532468,1,1,1,1,1,1,1,1,0,0
1/21/2020,0,0,0,0,0,0,0.122727273,0.040909091,0.050324675,1,1,1,1,1,1,1,1,0,0
1/22/2020,0,0,0,0,0,0,0.154545455,0.081818182,0.062987013,1,1,1,1,1,1,1,1,0,0
1/23/2020,0,0,0,0,0,0,0.154545455,0.036363636,0.108311688,1,1,1,1,1,1,1,1,0,0
1/24/2020,0,0,0,0,0,0,0.304545455,0.059090909,0.263961039,1,1,1,1,1,1,1,1,0,0
1/25/2020,0,0,0,0,0,0,0.327272727,-0.063636364,0.218506494,1,1,1,1,1,1,1,1,0,0
1/26/2020,0,0,0,0,0,0,-0.127272727,-0.259090909,-0.140324675,1,1,1,1,1,1,1,1,1,0
1/27/2020,0,0,0,0,0,0,0.063636364,0.009090909,0.014805195,1,1,1,1,1,1,1,1,0,0
1/28/2020,0,0,0,0,0,0,0.090909091,0.054545455,0.083636364,1,1,1,1,1,1,1,1,0,0
1/29/2020,0,0,0,0,0,0,0.113636364,0.059090909,0.104480519,1,1,1,1,1,1,1,1,0,0
1/30/2020,0,0,0,0,0,0,0.177272727,0.045454545,0.171363636,1,1,1,1,1,1,1,1,0,0
1/31/2020,0,0,0,0,0,0,0.354545455,0.063636364,0.331558442,1,1,1,1,1,1,1,1,0,0
2/1/2020,0,0,0,0,0,0,0.381818182,-0.059090909,0.261233766,1,1,1,1,1,1,1,1,0,0
2/2/2020,0,0,0,0,0,0,-0.086363636,-0.254545455,-0.141298701,1,1,1,1,1,1,1,1,0,0
2/3/2020,0,0,0,0,0,0,0.059090909,0.018181818,0.083701299,1,1,1,1,1,1,1,1,0,0
2/4/2020,0,0,0,0,0,0,0.054545455,0.031818182,0.102857143,1,1,1,1,1,1,1,1,0,0
2/5/2020,0,0,0,0,0,0,0.031818182,0.004545455,0.102922078,1,1,1,1,1,1,1,1,0,0
2/6/2020,0,0,0,0,0,0,0.127272727,0.027272727,0.171753247,1,1,1,1,1,1,1,1,0,0
2/7/2020,0,0,0,0,0,0,0.377272727,0.1,0.356558442,1,1,1,1,1,1,1,1,0,0
2/8/2020,0,0,0,0,0,0,0.459090909,-0.013636364,0.32525974,1,1,1,1,1,1,1,1,0,0
2/9/2020,0,0,0,0,0,0,-0.059090909,-0.218181818,-0.052987013,1,1,1,1,1,1,1,1,0,0
2/10/2020,0,0,0,0,0,0,0.036363636,0,0.07512987,1,1,1,1,1,1,1,1,0,0
2/11/2020,0,0,0,0,0,0,0.054545455,0.009090909,0.106623377,1,1,1,1,1,1,1,1,0,0
2/12/2020,0,0,0,0,0,0,0.127272727,0.090909091,0.160519481,1,1,1,1,1,1,1,1,0,0
2/13/2020,0,0,0,0,0,0,0.222727273,0.077272727,0.257987013,1,1,1,1,1,1,1,1,0,0
2/14/2020,0,0,0,0,0,0,0.468181818,0.136363636,0.492077922,1,1,1,1,1,1,1,1,0,0
2/15/2020,0.03,0.02,0.13,0.03,-0.01,0,0.490909091,-0.009090909,0.359935065,1,1,1,1,1,1,1,1,0,0
2/16/2020,0.07,0.03,0.3,0.03,0,-0.01,0.045454545,-0.172727273,0.029415584,1,1,1,1,1,1,1,1,0,0
2/17/2020,0.09,0.01,0.35,0.01,-0.25,0.05,0.077272727,0.022727273,0.130649351,1,1,1,1,1,1,1,1,0,0
2/18/2020,0.02,0.02,0.14,0.06,0.02,0,0.118181818,0.090909091,0.146818182,1,1,1,1,1,1,1,1,0,0
2/19/2020,0.04,0.02,0.14,0.07,0.01,0,0.136363636,0.036363636,0.191428571,1,1,1,1,1,1,1,1,0,0
2/20/2020,0.05,0.02,0.21,0.05,-0.01,0,0.236363636,0.045454545,0.246038961,1,1,1,1,1,1,1,1,0,0
2/21/2020,0.02,0.01,0.1,0.04,0,0,0.354545455,0.068181818,0.398181818,1,1,1,1,1,1,1,1,0,0
