date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths
1/13/2020,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1/14/2020,0,0,0,0,0,0,0.022041976,0.000712535,0.022956558,1,1,1,1,1,1,1,1,0,0
1/15/2020,0,0,0,0,0,0,0.03486124,-0.003409568,0.032770009,1,1,1,1,1,1,1,1,0,0
1/16/2020,0,0,0,0,0,0,0.040644712,-0.011248568,0.054899611,1,1,1,1,1,1,1,1,0,0
1/17/2020,0,0,0,0,0,0,0.164122604,0.016387032,0.153694774,1,1,1,1,1,1,1,1,0,0
1/18/2020,0,0,0,0,0,0,0.233847016,-0.045376719,0.097547779,1,1,1,1,1,1,1,1,0,0
1/19/2020,0,0,0,0,0,0,-0.019329391,-0.121315253,-0.078955212,1,1,1,1,1,1,1,1,0,0
1/20/2020,0,0,0,0,0,0,-0.010927644,-0.032578782,0.007646715,1,1,1,1,1,1,1,1,0,0
1/21/2020,0,0,0,0,0,0,0.015577845,0.020638687,0.015115694,1,1,1,1,1,1,1,1,1,0
1/22/2020,0,0,0,0,0,0,0.017226732,0.013865069,0.012419927,1,1,1,1,1,1,1,1,0,0
1/23/2020,0,0,0,0,0,0,0.030468074,0.01447861,0.046075625,1,1,1,1,1,1,1,1,0,0
1/24/2020,0,0,0,0,0,0,0.202437384,0.04366342,0.166325495,1,1,1,1,1,1,1,1,1,0
1/25/2020,0,0,0,0,0,0,0.294494434,-0.016738605,0.149566847,1,1,1,1,1,1,1,1,1,0
1/26/2020,0,0,0,0,0,0,-0.077389842,-0.13235692,-0.105439236,1,1,1,1,1,1,1,1,2,0
1/27/2020,0,0,0,0,0,0,-0.031497758,-0.000411415,-0.021143788,1,1,1,1,1,1,1,1,0,0
1/28/2020,0,0,0,0,0,0,-0.01559949,-0.004917558,0.003056195,1,1,1,1,1,1,1,1,0,0
1/29/2020,0,0,0,0,0,0,-0.007863714,-0.008275719,0.011367702,1,1,1,1,1,1,1,1,0,0
1/30/2020,0,0,0,0,0,0,0.03101461,0.004653043,0.049506685,1,1,1,1,1,1,1,1,1,0
1/31/2020,0,0,0,0,0,0,0.197757808,0.040703782,0.181297371,1,1,1,1,1,1,1,1,1,0
2/1/2020,0,0,0,0,0,0,0.301608689,-0.0123531,0.164975402,1,1,1,1,1,1,1,1,1,0
2/2/2020,0,0,0,0,0,0,-0.06163072,-0.128479437,-0.111902988,1,1,1,1,1,1,1,1,3,0
2/3/2020,0,0,0,0,0,0,-0.024841528,-0.002999427,-0.016768588,1,1,1,1,1,1,1,1,0,0
2/4/2020,0,0,0,0,0,0,-0.011003015,-0.002163706,0.010382017,1,1,1,1,1,1,1,1,0,0
2/5/2020,0,0,0,0,0,0,0.00359462,0.004270435,0.011103266,1,1,1,1,1,1,1,1,1,0
2/6/2020,0,0,0,0,0,0,0.014102118,0.003634295,0.045728825,1,1,1,1,1,1,1,1,0,0
2/7/2020,0,0,0,0,0,0,0.182123145,0.03053094,0.163964943,1,1,1,1,1,1,1,1,0,0
2/8/2020,0,0,0,0,0,0,0.294044913,-0.011062357,0.164932397,1,1,1,1,1,1,1,1,0,0
2/9/2020,0,0,0,0,0,0,-0.056480365,-0.112177871,-0.069387352,1,1,1,1,1,1,1,1,0,0
2/10/2020,0,0,0,0,0,0,-0.0270671,0.004902279,0.016127679,1,1,1,1,1,1,1,1,1,0
2/11/2020,0,0,0,0,0,0,0.00057398,0.004096798,0.041144949,1,1,1,1,1,1,1,1,0,0
2/12/2020,0,0,0,0,0,0,0.028800634,0.011295041,0.055188049,1,1,1,1,1,1,1,1,1,0
2/13/2020,0,0,0,0,0,0,0.085400433,0.026426025,0.119259453,1,1,1,1,1,1,1,1,1,0
2/14/2020,0,0,0,0,0,0,0.348680427,0.074917558,0.312434491,1,1,1,1,1,1,1,1,0,0
2/15/2020,0.040714286,0.01375,0.12875,0.033035714,0.003392857,-0.003571429,0.418083643,0.002800006,0.237180262,1,1,1,1,1,1,1,1,0,0
2/16/2020,0.070535714,0.020357143,0.17,0.023035714,0.005178571,-0.005892857,0.072657699,-0.087249013,0.001626703,1,1,1,1,1,1,1,1,0,0
2/17/2020,0.05875,0.004107143,0.235357143,-0.021607143,-0.211428571,0.048035714,0.050242347,0.014140406,0.064066338,1,1,1,1,1,1,1,1,10,0
2/18/2020,-0.005892857,-0.010535714,0.046607143,0.025535714,-0.007321429,0.008035714,0.028567563,0.024472243,0.060050002,1,1,1,1,1,1,1,1,0,0
2/19/2020,0.017142857,0.003392857,0.068035714,0.030535714,0.002857143,0.002321429,0.043467069,0.021951553,0.075428837,1,1,1,1,1,1,1,1,0,0
2/20/2020,0.011428571,-0.000714286,0.005892857,0.020178571,-0.001428571,0.0075,0.069441868,0.018308983,0.10601696,1,1,1,1,1,1,1,1,2,0
2/21/2020,0.019821429,-0.009107143,0.073035714,0.035178571,0.007321429,0.0025,0.289066172,0.070290298,0.261757211,1,1,1,1,1,1,1,1,3,0
2/22/2020,0.054642857,0.028035714,0.331785714,0.068392857,0.025892857,-0.009285714,0.469034864,0.024359403,0.263655234,1,1,1,1,1,1,1,1,0,0
2/23/2020,0.070178571,0.037321429,0.326071429,0.067321429,0.022321429,-0.006964286,0.025345161,-0.093914725,-0.012146976,1,1,1,1,1,1,1,1,0,0
2/24/2020,0.018928571,0.007857143,0.092142857,0.019642857,0.021071429,0.002678571,0.010879329,0.01032006,0.040626859,1,1,1,1,1,1,1,1,13,0
2/25/2020,0.032678571,0.004285714,0.075714286,0.025892857,0.004642857,0.003035714,0.043735699,0.013952445,0.07005477,1,1,1,1,1,1,1,1,2,0
2/26/2020,0.074642857,0.033571429,0.053392857,0.048571429,0.010178571,-0.004821429,0.047903912,0.008683633,0.084393893,1,1,1,1,1,1,1,1,15,0
2/27/2020,0.063928571,0.025178571,0.083928571,0.047142857,0.006071429,-0.001607143,0.106603664,0.017905526,0.127177081,1,1,1,1,1,1,1,1,0,0
2/28/2020,0.073571429,0.038571429,0.127678571,0.06625,0.020535714,-0.010178571,0.313518862,0.066334989,0.284343392,1,1,1,1,1,1,1,1,5,0
2/29/2020,0.094285714,0.061428571,0.228571429,0.086071429,0.027678571,-0.0175,0.444687307,0.017933219,0.279898441,1,1,1,1,1,1,1,1,5,1
3/1/2020,0.128035714,0.089821429,0.284107143,0.091071429,0.028928571,-0.013214286,0.028005952,-0.097162911,-0.004382952,1,1,1,1,1,1,1,1,18,2
3/2/2020,0.069464286,0.054107143,0.114285714,0.02375,0.028571429,-0.004464286,0.019587199,-0.00287274,0.044529821,1,1,1,1,1,1,1,1,16,3
3/3/2020,0.1025,0.090535714,0.2325,0.036785714,0.015,-0.007142857,0.065964363,0.010370194,0.081231365,1,1,1,1,1,1,1,1,21,4
3/4/2020,0.081071429,0.064464286,0.196071429,0.043928571,0.017142857,-0.00625,0.073716759,0.002066781,0.090860111,1,1,1,1,1,1,1,1,36,2
3/5/2020,0.073392857,0.065357143,0.220535714,0.043214286,0.0175,-0.005714286,0.123550943,0.019660046,0.143016352,1,1,1,1,1,1,1,1,67,0
3/6/2020,0.048928571,0.033035714,0.175714286,0.043928571,0.02,-0.003571429,0.302986626,0.057233734,0.285616079,1,1,1,1,1,1,1,1,83,3
3/7/2020,0.083214286,0.071785714,0.384464286,0.08875,0.030714286,-0.01375,0.439404375,0.015183664,0.272847004,1,1,1,1,1,1,1,1,117,4
3/8/2020,0.105178571,0.079107143,0.576607143,0.091428571,0.019285714,-0.009821429,0.059246676,-0.100652693,-0.000933764,1,1,1,1,1,1,1,1,119,3
3/9/2020,0.060357143,0.060892857,0.366071429,0.016071429,0.004107143,0.001428571,0.053044218,0.00192959,0.061021,1,1,1,1,1,1,1,1,201,4
3/10/2020,0.062678571,0.071071429,0.260357143,0.013392857,-0.006428571,0.003035714,0.068982297,-0.00336023,0.082822314,1,1,1,1,1,1,1,1,270,5
3/11/2020,0.070357143,0.099107143,0.301964286,0.021428571,-0.007857143,0.000357143,0.075718537,-0.021354883,0.085905818,1,1,1,1,1,1,1,0,245,6
3/12/2020,0.062857143,0.205892857,0.235714286,-0.005714286,-0.0225,0.007321429,0.053336425,-0.050374172,0.069854716,1,1,1,1,1,1,1,0,405,6
3/13/2020,0.010357143,0.2325,0.105714286,-0.046785714,-0.050357143,0.024642857,0.113091373,-0.073468774,0.128667336,1,1,1,1,1,1,1,0,556,7
3/14/2020,-0.068928571,0.148392857,0.123571429,-0.051785714,-0.018035714,0.028035714,0.101538729,-0.141453559,0.02705519,1,1,1,1,1,1,1,0,674,10
3/15/2020,-0.073214286,0.113571429,0.161428571,-0.076071429,-0.056071429,0.028214286,-0.159318955,-0.217697352,-0.173525433,1,1,1,1,1,1,1,0,702,8
3/16/2020,-0.055535714,0.200178571,0.085357143,-0.131607143,-0.164107143,0.063392857,-0.132250309,-0.177154635,-0.114060234,1,1,1,1,1,1,1,0,907,23
3/17/2020,-0.161607143,0.126428571,0.165535714,-0.153928571,-0.226607143,0.092321429,-0.162162956,-0.218502992,-0.159284419,1,1,1,0,1,1,1,0,1399,26
3/18/2020,-0.210892857,0.082142857,0.183392857,-0.188571429,-0.266785714,0.108571429,-0.201810838,-0.24499427,-0.190937033,1,1,1,0,1,1,1,0,2444,45
3/19/2020,-0.263035714,0.049464286,0.05625,-0.2575,-0.293214286,0.129107143,-0.214536565,-0.26641934,-0.207383727,1,1,1,0,0,1,0,0,4043,50
3/20/2020,-0.290357143,0.053035714,0.106964286,-0.272321429,-0.30375,0.141428571,-0.181168445,-0.265025146,-0.164821916,1,1,1,0,0,0,0,0,5619,65
3/21/2020,-0.363571429,-0.014464286,0.1625,-0.25875,-0.211607143,0.096785714,-0.240841064,-0.305842405,-0.250953237,1,0,0,0,0,0,0,0,6516,83
3/22/2020,-0.379642857,-0.104464286,0.094107143,-0.330892857,-0.268392857,0.087321429,-0.328581865,-0.340241756,-0.364330303,1,0,0,0,0,0,0,0,8545,98
3/23/2020,-0.327857143,-0.076785714,-0.079821429,-0.342321429,-0.34875,0.14625,-0.28310722,-0.304868697,-0.297187657,1,0,0,0,0,0,0,0,10432,121
3/24/2020,-0.356964286,-0.106964286,0.069107143,-0.328571429,-0.383928571,0.163214286,-0.274222712,-0.310409823,-0.300461322,1,0,0,0,0,0,0,0,10433,206
3/25/2020,-0.35875,-0.117678571,0.0825,-0.341428571,-0.398392857,0.167321429,-0.273383194,-0.314069423,-0.30099189,1,0,0,0,0,0,0,0,14634,269
3/26/2020,-0.363571429,-0.117857143,0.233035714,-0.358392857,-0.4075,0.171607143,-0.262625618,-0.316518175,-0.292982634,1,0,0,0,0,0,0,0,16998,299
3/27/2020,-0.38125,-0.130357143,0.13875,-0.385,-0.399464286,0.182857143,-0.235505566,-0.309645722,-0.252251038,0,0,0,0,0,0,0,0,17330,417
3/28/2020,-0.4425,-0.171428571,-0.011785714,-0.394285714,-0.299464286,0.12375,-0.289172078,-0.334334575,-0.321337435,0,0,0,0,0,0,0,0,21066,530
3/29/2020,-0.422321429,-0.193928571,0.069821429,-0.424107143,-0.329285714,0.103392857,-0.334820656,-0.351320346,-0.395239628,0,0,0,0,0,0,0,0,18520,418
3/30/2020,-0.359642857,-0.149642857,0.051607143,-0.391785714,-0.411071429,0.162678571,-0.274463513,-0.319218869,-0.314280662,0,0,0,0,0,0,0,0,21469,650
3/31/2020,-0.359821429,-0.133928571,0.038571429,-0.368392857,-0.428571429,0.175714286,-0.275586735,-0.328159218,-0.305912516,0,0,0,0,0,0,0,0,24506,936
4/1/2020,-0.33625,-0.083035714,0.088214286,-0.357321429,-0.432142857,0.172678571,-0.259149273,-0.326901579,-0.297462498,0,0,0,0,0,0,0,0,26930,1021
4/2/2020,-0.375178571,-0.110535714,0.016428571,-0.39875,-0.439285714,0.186428571,-0.261749382,-0.330417462,-0.296555855,0,0,0,0,0,0,0,0,29717,1216
4/3/2020,-0.385357143,-0.097321429,-0.078214286,-0.413571429,-0.431607143,0.196964286,-0.239873222,-0.327779635,-0.257122725,0,0,0,0,0,0,0,0,32318,1391
4/4/2020,-0.444107143,-0.127142857,0.013214286,-0.408214286,-0.322142857,0.128928571,-0.269299629,-0.347468487,-0.313022757,0,0,0,0,0,0,0,0,35099,1556
4/5/2020,-0.427678571,-0.161071429,0.1375,-0.445892857,-0.345892857,0.104285714,-0.315749459,-0.360904157,-0.389601964,0,0,0,0,0,0,0,0,25616,1368
4/6/2020,-0.364107143,-0.12875,0.171607143,-0.401964286,-0.431428571,0.168571429,-0.253008658,-0.328792653,-0.301063208,0,0,0,0,0,0,0,0,30915,1526
4/7/2020,-0.36625,-0.1175,0.276607143,-0.377678571,-0.446785714,0.17625,-0.23079816,-0.324353832,-0.288383279,0,0,0,0,0,0,0,0,30338,2234
4/8/2020,-0.367857143,-0.115892857,0.166964286,-0.382142857,-0.45,0.176785714,-0.236473021,-0.326550166,-0.284160015,0,0,0,0,0,0,0,0,31819,2085
4/9/2020,-0.378571429,-0.1125,-0.015714286,-0.411964286,-0.455178571,0.188392857,-0.25346243,-0.333506812,-0.2759758,0,0,0,0,0,0,0,0,34696,2120
4/10/2020,-0.380535714,-0.094107143,0.023035714,-0.430357143,-0.485178571,0.205535714,-0.204112554,-0.329083588,-0.223936453,0,0,0,0,0,0,0,0,33472,2263
