date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths,PopulationEstimate65+2017,CensusPopulation2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,forMask,notForMask
1/13/20,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/14/20,0,0,0,0,0,0,0.022077922,0.006417112,0.02311525,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/15/20,0,0,0,0,0,0,0.043290043,0.014973262,0.064885241,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/16/20,0,0,0,0,0,0,-0.00995671,-0.026737968,0.064565058,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/17/20,0,0,0,0,0,0,0.255411255,0.06631016,0.303709058,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/18/20,0,0,0,0,0,0,0.427705628,-0.058823529,0.265977293,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/19/20,0,0,0,0,0,0,0.042857143,-0.183957219,-0.019652863,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/20/20,0,0,0,0,0,0,0.038961039,-0.07486631,0.073810341,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/21/20,0,0,0,0,0,0,0.013419913,0.055614973,0.041881075,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
1/22/20,0,0,0,0,0,0,0.054545455,0.055080214,0.072021563,1,1,1,1,1,1,1,1,0,0,0.147779151,1,0.173592168,0.141409492,0.014812521,0.003694507,0.034736069,0.033211963,0.034347037,0.032916665,0.035591254,0.033956528,0.039058456,0.036743964,0.038674685,0.035571095,0.03781338,0.035854206,0.035012308,0.034066744,0.069917219,0.069201161,0.070020134,0.070968141,0.028721138,0.03044831,0.0235994,0.025581874,0.028282258,0.032794101,0.015637963,0.021142292,0.005658862,0.010472794,0.52,0.48
