date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,cases,deaths
01-13-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-14-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.022041975881261593,0.0007125350140056032,0.022956557676715693,0.0,0.0
01-15-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.03486123995052566,-0.003409568372803666,0.03277000930485197,0.0,0.0
01-16-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.040644712430426715,-0.011248567608861728,0.054899610783997146,0.0,0.0
01-17-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.1641226035868893,0.016387032085561495,0.15369477389669833,0.0,0.0
01-18-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.23384701607915895,-0.04537671886936594,0.09754777897212732,0.0,0.0
01-19-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.01932939084724799,-0.1213152533740769,-0.0789552124092434,0.0,0.0
01-20-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.010927643784786643,-0.032578781512605036,0.007646714716880132,0.0,0.0
01-21-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.015577844774273349,0.020638687293099055,0.015115694205173266,1.0,0.0
01-22-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0172267316017316,0.013865068754774638,0.012419927263401997,0.0,0.0
01-23-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.030468073593073595,0.014478609625668446,0.046075624531065354,0.0,0.0
01-24-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.20243738404452688,0.04366341991341992,0.16632549527812748,1.0,0.0
01-25-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.2944944341372913,-0.016738604532722183,0.1495668469288816,1.0,0.0
01-26-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.07738984230055658,-0.13235692004074356,-0.10543923600018032,2.0,0.0
