state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,cases,deaths
AK,01-13-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,01-14-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.009090909090909092,0.0,0.04727272727272727,0.0,0.0
AK,01-15-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.009090909090909092,0.0,0.055090909090909086,0.0,0.0
AK,01-16-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363637,0.0,0.10600000000000001,0.0,0.0
AK,01-17-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.1636363636363636,0.0,0.264,0.0,0.0
AK,01-18-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.02727272727272727,0.0,0.18345454545454548,0.0,0.0
AK,01-19-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181818182,0.0,-0.13036363636363638,0.0,0.0
AK,01-20-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.14545454545454548,0.0,-0.035454545454545454,0.0,0.0
AK,01-21-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363637,0.0,0.05072727272727273,0.0,0.0
AK,01-22-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04945454545454546,0.0,0.0
AK,01-23-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.05454545454545454,0.0,0.06472727272727273,0.0,0.0
AK,01-24-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.23618181818181816,0.0,0.0
AK,01-25-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.1410909090909091,0.0,0.0
AK,01-26-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181818182,0.0,-0.17618181818181816,0.0,0.0
AK,01-27-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.11818181818181818,0.0,-0.018545454545454546,0.0,0.0
AK,01-28-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181818182,0.0,-0.018363636363636363,0.0,0.0
AK,01-29-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.11818181818181818,0.0,0.03636363636363637,0.0,0.0
AK,01-30-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.0818181818181818,0.0,0.05490909090909091,0.0,0.0
AK,01-31-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.22636363636363638,0.0,0.0
AK,02-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.15545454545454546,0.0,0.0
AK,02-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.2041818181818182,0.0,0.0
AK,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02781818181818182,0.0,0.0
AK,02-04-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.10909090909090909,0.0,0.028545454545454544,0.0,0.0
AK,02-05-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.09381818181818181,0.0,0.0
AK,02-06-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.14527272727272728,0.0,0.0
AK,02-07-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.15454545454545457,0.0,0.31527272727272726,0.0,0.0
AK,02-08-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.19090909090909092,0.0,0.19399999999999998,0.0,0.0
AK,02-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.0950909090909091,0.0,0.0
AK,02-10-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.009090909090909092,0.0,0.027454545454545454,0.0,0.0
AK,02-11-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.009090909090909092,0.0,0.07490909090909091,0.0,0.0
AK,02-12-2020,0.0,0.0,0.0,0.0,0.0,0.0,-0.018181818181818184,0.0,0.0650909090909091,0.0,0.0
AK,02-13-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.1636363636363636,0.0,0.2050909090909091,0.0,0.0
AK,02-14-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.2636363636363636,0.0,0.4450909090909091,0.0,0.0
AK,02-15-2020,0.05,0.03,0.14,0.02,0.01,0.0,0.15454545454545457,0.0,0.25527272727272726,0.0,0.0
AK,02-16-2020,0.15,0.05,0.29,0.06,0.01,-0.01,-0.1272727272727273,0.0,-0.03145454545454546,0.0,0.0
AK,02-17-2020,0.03,-0.02,0.09,-0.06,-0.33,0.08,-0.045454545454545456,0.0,0.06363636363636363,0.0,0.0
AK,02-18-2020,-0.02,-0.02,0.01,0.04,-0.02,0.02,0.009090909090909092,0.0,0.04890909090909091,0.0,0.0
AK,02-19-2020,0.0,-0.02,0.01,0.04,-0.03,0.02,0.03636363636363637,0.0,0.096,0.0,0.0
AK,02-20-2020,0.03,0.03,0.05,0.01,0.02,0.0,0.06363636363636364,0.0,0.14236363636363636,0.0,0.0
AK,02-21-2020,-0.01,-0.02,0.01,0.05,0.05,0.0,0.13636363636363635,0.0,0.3261818181818182,0.0,0.0
AK,02-22-2020,0.05,0.03,0.13,0.03,0.04,-0.01,0.18181818181818182,0.0,0.28709090909090906,0.0,0.0
AK,02-23-2020,0.12,0.04,0.16,0.01,0.02,-0.01,-0.045454545454545456,0.0,-0.0730909090909091,0.0,0.0
AK,02-24-2020,0.04,0.01,0.07,0.04,0.03,0.0,-0.02727272727272727,0.0,0.10654545454545455,0.0,0.0
AK,02-25-2020,0.06,-0.01,0.01,-0.01,0.03,0.0,0.0,0.0,0.12963636363636366,0.0,0.0
AK,02-26-2020,0.12,0.06,0.07,0.02,0.03,0.0,0.0,0.0,0.14563636363636365,0.0,0.0
AK,02-27-2020,0.1,0.06,0.13,0.09,0.02,-0.01,0.13636363636363635,0.0,0.20236363636363636,0.0,0.0
AK,02-28-2020,0.12,0.05,0.13,0.08,0.06,-0.02,0.3909090909090909,0.0,0.4110909090909091,0.0,0.0
AK,02-29-2020,0.13,0.09,0.09,0.12,0.05,-0.02,0.45454545454545453,0.0,0.34272727272727277,0.0,0.0
AK,03-01-2020,0.18,0.14,0.06,0.16,0.05,-0.01,-0.045454545454545456,0.0,-0.05163636363636363,0.0,0.0
AK,03-02-2020,0.06,0.06,0.04,0.06,0.01,0.0,-0.018181818181818184,0.0,0.12200000000000001,0.0,0.0
